Posto;CNPJ;Cidade;UF;Latitude;Longitude;S10;S500;Arla;Data Negociacao;Homologacao;Observacao;Telefone
DECIO COMERCIO E SERVICOS RODOVIARIOS LTDA;;RIO VERDE;GO;-17,792753;-50,919631;6,28;6,28;2,98;14/07/2026;;;99999999999
POSTO MACEDO GUAIRA LTDA;;GUAIRA;PR;-24,113514;-54,240143;6,18;5,57;2,98;05/07/2026;;;4435222807
COOP (MISTA) DOS TRANSP E OUTROS DO OESTE CATAR;;CHAPECO;SC;-27,069591;-52,622854;5,82;6,71;3,15;27/04/2026;;;4933240296
COMERCIAL BEIRA RIO LTDA;;SAO GONCALO DO ABAETE;MG;-18,184577;-45,259751;6,46;6,06;2,98;14/07/2026;;;3888017351
CASAGRANDA DERIVADOS DE PETROLEO LTDA;;ALTA FLORESTA;MT;-9,900623;-56,084582;7,35;6,76;;14/07/2026;;;66984467730
DECIO COMERCIO E SERVICOS RODOVIARIOS LTDA;;UBERLANDIA;MG;-18,893025;-48,418759;6,28;6,28;2,98;14/07/2026;;;4999999999
POSTO 44 INTERNACIONAL COMERCIO DE COMBUSTIVEIS LTDA;;SAO BORJA;RS;-28,631552;-56,000221;6;5,83;2,73;10/07/2026;;;5599622013
REDE DE POSTOS MARAJO REDENCAO LTDA;;REDENCAO;PA;-8,036761;-50,066498;6,46;6,38;3,58;03/07/2026;;;6281760472
AUTO POSTO PRA FRENTE BRASIL LTDA 07;;CASCAVEL;PR;-24,879583;-53,559402;6,18;;;13/07/2026;;;45991422094
A. P. ANHANGUERA LTDA;;SAO PAULO;SP;-23,436374;-46,785515;;;;;;;
POSTO 4 IRMAOS JL LTDA;;JACUPIRANGA;SP;-24,65136;-47,942109;;;;;;;1338646450
REDE DE POSTOS MARAJO CENTRALINA LTDA;;CENTRALINA;MG;-18,570404;-49,193096;6,43;6,33;3,08;12/07/2026;;;6239996262
REDE DE POSTOS MARAJO JACIARA LTDA;;JACIARA;MT;-15,950398;-54,981395;6,34;6,34;3,68;08/06/2026;;;6239996262
POSTO SOL DA DUTRA LTDA;;BARRA MANSA;RJ;-22,454737;-44,302136;6,48;5,98;3,28;02/07/2026;;;2474026072
AUTO POSTO PETROPEN;;PARIQUERA-ACU;SP;-24,623655;-47,895353;6,88;6,58;;12/07/2026;;;1338561410
POSTO RODOVANA LTDA;;CAMPO GRANDE;MS;-20,661938;-54,562048;6,38;6,18;3,59;12/07/2026;;;6733934466
POSTO 7 AMERICANA LTDA;;AMERICANA;SP;;;6,12;5,89;3,08;12/07/2026;;;01934651225
REDE DE POSTOS MARAJO COUTO MAGALHAES LTDA;;COUTO DE MAGALHAES DE MIN;TO;-8,361266;-49,188487;6,44;6,58;3,48;12/07/2026;;;6239996262
POSTO SOL DA DUTRA LTDA.;;TRES RIOS;RJ;-22,117004;-43,218946;6,68;6,38;;05/07/2026;;;2433534552
POSTO ARCO IRIS DE ROSEIRA LTDA;;ROSEIRA;SP;-22,908745;-45,316512;6,64;6,32;3,28;11/07/2026;;;1236469296
REDE DE POSTOS MARAJO ELDORADO DOS CARAJAS LTDA;;ELDORADO DOS CARAJAS;PA;-6,102853;-49,351309;6,46;6,88;3,58;05/07/2026;;;6239996262
AUTO POSTO ITINGA II LTDA;;DOM ELISEU;PA;-4,313628;-47,552821;6,88;5,7;3,29;11/07/2026;;;9991263421
AUTO POSTO PAULISTAO URANIA LTDA;;URANIA;SP;-20,233351;-50,660011;6,87;7,58;3,58;11/07/2026;;;4933214704
POSTO MAR DAS PEDRAS LTDA;;BIGUACU;SC;-27,529316;-48,632088;6,08;5,98;;11/07/2026;;;49999188382
POSTO SEM LIMITES LTDA;;BAURU;SP;-22,313504;-49,055435;6,98;7,38;;04/06/2026;;;1432275576
POSTO CHIMBA LTDA;;FRANCISCO SA;MG;-16,478691;-43,491133;6,88;6,19;3,33;10/07/2026;;;3832153321
REDE DE POSTOS MARAJO CARIRI 2 LTDA;;CARIRI DO TOCANTINS;TO;-11,888845;-49,164548;6,44;6,33;3,48;10/07/2026;;;6281760472
REDE DE POSTOS DE COMBUSTIVEIS MARAJO URUACU LTDA;;URUACU;GO;-14,430435;-49,1575;6,43;6,33;3,48;28/06/2026;;;6239996262
POSTO ALDO SORRISO LTDA;;SORRISO;MT;-12,60156;-55,749223;6,73;6,56;4,18;10/07/2026;;;6699956831
GUERRA COMERCIO DE PETROLEO LTDA;;BARRETOS;SP;-20,513087;-48,60254;6,28;6,28;2,98;09/07/2026;;;1733281662
LIMA COMERCIAL DE COMBUSTIVEIS LTDA;;SAO LUIS;MA;-2,627321;-44,262413;6,93;5,56;;06/07/2026;;;9889109628
AUTO POSTO GRANDE RIO LTDA;;JUAZEIRO;BA;-9,43127;-40,507871;;;;;;;7436146074
POSTO MONTE CARLO MIRASSOL KM 446 LTDA;;MIRASSOL;SP;;;6,48;6,48;3,58;09/07/2026;;;1791904136
GDO PARTICIPACOES S/A - AUTO POSTO DUQUE VOTUPORANGA;;VOTUPORANGA;SP;-20,459421;-49,86808;6,48;6,38;;09/06/2026;;;01727861126
COOPERATIVA AGROINDUSTRIAL ALFA;;CHAPECO;SC;-27,098317;-52,650552;6,61;6,43;2,98;09/07/2026;;;4988137982
MPS COMERCIO DE COMBUSTIVEIS LTDA CHAPECO FILIAL 38;;CHAPECO;SC;-27,150712;-52,621838;5,98;6,24;2,98;09/07/2026;;;05431968351
POSTO UBAJAY;;ENTRE RIOS;EX;-31,796179;-58,317867;;;;;;;54934560252
AUTO POSTO JASSA LTDA;;CURITIBA;PR;-25,567298;-49,168103;6,34;6,27;3,08;08/07/2026;;;4131347400
GDO PARTICIPACOES S/A - AUTO POSTO DUQUE ANDRADINA;;ANDRADINA;SP;-20,862631;-51,423217;6,28;6,38;;08/07/2026;;;11000000000
POSTO MAR DAS PEDRAS LTDA;;SANTA TEREZINHA DE ITAIPU;PR;-25,453648;-54,419969;6,49;6,19;2,98;18/06/2026;;;49999187158
